id,name,modality,primary_area,pattern,equipment,media,contraindications,created_at,notes,movement_pattern,plane_of_motion,primary_muscle_group,secondary_muscle_groups,equipment_category,exercise_complexity,tags
00ce76bf-1141-49f0-b663-8519d22adf80,Calf Raise (BW),strength,lower,na,"[""bodyweight""]","{""youtube"":""https://youtu.be/6uO8Cz3z9Gk""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Full ROM; pause,,,,,,,"[""calves"",""beginner"",""teen-safe"",""legs"",""lower""]"
01eb5269-f13d-4489-90d4-6775ab3709ec,Side Plank,core,core,anti_rotate,"[""bodyweight""]","{""youtube"":""https://youtu.be/pSHjTRCQxIw""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Stack hips,,,,,,,"[""core"",""obliques"",""teen-safe""]"
023c5349-06ee-4175-b990-11183a8c12ee,Quad Stretch (Right),mobility,lower,na,[],,,2025-10-27 20:11:42.575052+00,Static stretch for quadriceps,Static Stretch,Sagittal,Quads,,,Beginner,"[""stretch"",""static"",""quads"",""cooldown"",""legs"",""lower""]"
024a5c33-1ba9-4054-bcde-b6c8d45ec5b9,Deadlift,strength,lower,pull,"[""barbell"",""squat rack""]","{""youtube"":""https://www.youtube.com/watch?v=op9kVnSso6Q""}",,2025-10-28 14:24:24.559045+00,"Stand with your feet hip-width apart, grip the bar just outside your knees, keep your back flat, and lift by driving through your heels and extending your hips and knees together until you're standing tall.",,,,,,,"[""strength"",""posterior"",""back"",""legs"",""primary"",""upper"",""lower""]"
0438a20f-4d2b-484e-bbca-8bd0c22ed2d3,Fartlek (On/Off),running,full,gait,"[""road"",""trail""]","{""youtube"":""https://www.youtube.com/watch?v=fnevYyyE8Bo""}",{},2025-10-24 20:25:03.797411+00,8–12 × (1 min hard / 1 min easy) after 10 min warm-up,,,,,,,"[""run"",""fartlek"",""hiit"",""engine""]"
04978b37-2f12-4726-bc41-aa68c0fae1c8,Steady incline run,running,na,na,[],,,2025-11-03 08:38:08.098974+00,,,,,,,,[]
05c89014-2d24-4e7b-9eb1-0935fae7d61b,Sprint,running,full,na,[],,,2025-10-27 20:11:42.575052+00,High intensity sprint,Running,Sagittal,Legs,,,Intermediate,"[""cardio"",""power"",""Z4"",""intervals""]"
06215a5e-bd21-4d28-8e4a-afdee6e9e053,Narrow Grip Pull Up,bodyweight,upper,na,"[""bodyweight""]","{""youtube"":""https://www.youtube.com/watch?v=cd_38C6LuvY""}",,2025-11-07 17:04:59.347159+00,Bodyweight upper body pull,,,,,,,"[""primary"",""back"",""upper""]"
06c9d844-afca-4bd9-a4a9-e7091e6c6c05,Seated Row (Neutral Grip),strength,upper,pull,"[""machine""]","{""youtube"":""https://youtu.be/GZbfZ033f74""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Neutral grip; pause,,,,,,,"[""back"",""machine"",""teen-safe"",""upper""]"
086042f5-0554-4bb6-905e-4b67676515e0,Figure of 4 left glute stretch,strength,na,na,[],,,2025-10-28 21:55:16.551895+00,,,,,,,,"[""glutes"",""lower""]"
08887f87-5e5a-4da8-88a8-aa91f318407b,Chest Press,strength,upper,push,"[""machine""]","{""youtube"":""https://youtu.be/2yjwXTZQDDI""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,"Keep your feet flat, shoulder blades retracted, and control the weight through a full range of motion while pressing explosively and lowering slowly.",,,,,,,"[""chest"",""triceps"",""machine"",""teen-safe"",""primary"",""upper""]"
09621d5b-2dc0-4c5b-a3fa-6c5adb9c21c5,BikeErg HIIT 40/20,erg,full,gait,"[""bike""]","{""youtube"":""https://youtu.be/3suAxCsGRj4""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,8–12 rounds; avoid >10% fade,,,,,,,"[""erg"",""hiit"",""bike"",""teen-safe""]"
09d09388-c4c9-4829-8c1d-3f83e4b9ab43,Cat-Cow,mobility,upper,na,"[""bodyweight""]","{""youtube"":""https://youtu.be/kqnua4rHVVA""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Slow breathing,,,,,,,"[""spine"",""mobility"",""teen-safe""]"
0b0b4b39-aa6a-40c0-9683-3e93a87d25a8,Kettlebell Swing,strength,na,na,"[""kettlebell""]",,,2025-11-03 10:08:57.842406+00,,,,,,,,[]
0bcbc33f-46a9-43d7-844b-8052ffb9eed3,Figure of 4 right glute stretch,strength,na,na,[],,,2025-10-28 21:55:14.745727+00,,,,,,,,"[""glutes"",""lower""]"
0bd1bee6-ca63-4c6c-8aeb-b3aa7e7fb7e6,Inverted Row (TRX),strength,upper,pull,"[""trx""]","{""youtube"":""https://www.youtube.com/watch?v=oBm8_yRj8TU""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Squeeze mid-back,,,,,,,"[""back"",""beginner"",""teen-safe"",""upper""]"
0d0c6ab2-2f32-4577-bc58-4c250e94ddf2,Weighted Burpees,cardio,full,hinge,"[""bodyweight""]","{""youtube"":""https://www.youtube.com/watch?v=sT4c7cXPLPs""}",,2025-11-03 10:09:05.387427+00,"Hold a pair of dumbbells, drop into a push-up position with the weights, perform a push-up, jump your feet forward, then explosively jump up while pressing or lifting the dumbbells overhead.",,,,,,,"[""primary""]"
0dedbcb0-5a4c-4575-87e0-d6e9eff4b3d0,Cable Row,strength,upper,pull,"[""machine"",""cable""]",,,2025-11-07 08:56:03.308134+00,,,,,,,,"[""back"",""upper""]"
0f1d0925-8aff-4d25-84ca-146e83474378,Obliques Roman Chair Side Bend,rehab,upper,pull,"[""band""]","{""youtube"":null}",,2025-10-25 17:48:37.712507+00,Elbows soft; scaps set,,,,,,,"[""shoulders"",""prehab"",""teen-safe"",""upper""]"
0f728a1c-19bc-46a8-bf57-07cda88b5ace,Pelvic Tilting Plank,bodyweight,core,na,"[""bodyweight""]",,,2025-10-28 14:24:24.559045+00,Plank with pelvic tilt,,,,,,,"[""core""]"
109c1825-8b2d-4990-9489-62ca5df27cff,Figure of 4 Stretch,mobility,na,na,[],,,2025-10-28 14:24:24.559045+00,Glute and hip stretch,,,,,,,[]
113da189-4582-4c07-af02-6afad5233c98,Hamstring Stretch (Left),mobility,lower,na,[],,,2025-10-27 20:11:42.575052+00,Static stretch for hamstrings,Static Stretch,Sagittal,Hamstrings,,,Beginner,"[""stretch"",""static"",""hamstrings"",""cooldown"",""legs"",""lower""]"
117ff06f-82c9-475f-aaa9-95b7f4ebfe2f,Ankle Dorsiflexion Mobilization,mobility,lower,na,"[""bodyweight"",""band""]","{""youtube"":""https://youtu.be/Qn8K9qj5Tck""}","{""no_barbell"":true}",2025-10-24 17:54:38.67875+00,Knee over toes gently,,,,,,,"[""ankle"",""mobility"",""teen-safe""]"
